Text,Speaker,Episode,Season,Show
" C'mon, you're going out with the guy! There's gotta be something wrong with him!",JOEY,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 So does he have a hump? A hump and a hairpiece?,CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Okay, everybody relax. This is not even a date. It's just two people going out to dinner and- not having s*x.",MONICA,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Sounds like a date to me.,CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
(CUT TO SAME SET),,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realise I am totally naked.",CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realise I am totally naked.",CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Oh, yeah. Had that dream.",ALL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Oh, yeah. Had that dream.",ALL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" Then I look down, and I realise there's a phone... there.",CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Instead of...?,JOEY,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 That's right.,CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 No.,PHOEBE,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" All of a sudden, the phone starts to ring. And it turns out it's my mother, which is very weird, because- she never calls me!",CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck...",ROSS,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Cookie?,CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" No!! Okay?! Why does everyone keep fixating on that? She didn't know, how should I know?",ROSS,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 Sometimes I wish I was a lesbian... (THE OTHERS STARE AT HIM) Did I say that out loud?,CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
(ENTER RACHEL IN A WET WEDDING DRESS. SHE STARTS TO SEARCH AROUND THE ROOM),,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
 And I just want a million dollars! (EXTENDS HIS HAND HOPEFULLY),CHANDLER,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
" (ON PHONE) Daddy, I just... I can't marry him! I'm sorry. I just don't love him. Well, it matters to me! ",RACHEL,Episode-01-The One Where Monica Gets a New Roommate (The Pilot),Season-01,Friends
